Publication Type,Authors,Article Title,Source Title,Publication Year,Author Keywords,Abstract,WoS Categories,Research Areas,Open Access,Satellite,Application,Domain,Title_lower,ML Technique,Complex,Accuracy (%),F1-score (%),Precision (%),Recall (%),Producer accuracy (%),User accuracy (%),Pixel accuracy,Kappa (%),IoU (%),MIoU (%),Dice (%),R-squared,RMSE,MAE,Parameter
J,"Qiao, MJ; He, XH; Cheng, XJ; Li, PL; Luo, HT; Zhang, LH; Tian, ZH","Crop yield prediction from multi-spectral, multi-temporal remotely sensed imagery using recurrent 3D convolutional neural networks*",INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,2021,Crop yield prediction; 3D convolutional neural network; Long short-term memory; Multi-temporal images,"Crop yield prediction has played a vital role in maintaining food security and has been extensively investigated in recent decades. Most research has focused on excavating fixed spectral information from remote sensing images. However, the growth of crops is a highly complex trait determined by diverse features. To maximally explore these heterogeneous features, we aim to simultaneously exploit spatial, spectral, and temporal information from multi-spectral and multi-temporal remotely sensed imagery. Therefore, in this paper, we propose a novel deep learning architecture for crop yield prediction, namely, SSTNN (Spatial-Spectral-Temporal Neural Network), which combines 3D convolutional and recurrent neural networks to exploit their complementarity. Specifically, the SSTNN incorporates a spatial-spectral learning module and a temporal dependency capturing module into a unified convolutional network to recognize the joint spatial-spectral-temporal representation. The novel spatialspectral feature learning module first exploits sufficient spatial-spectral features from the multi-spectral images. Then, the temporal dependency capturing module is concatenated on top of the spatial-spectral feature learning module to mine the temporal relationship from the long time-series images. Furthermore, we introduce a new loss function that eliminates the influence of an imbalanced distribution of crop yield labels. Finally, the proposed SSTNN is validated on winter wheat and corn yield predictions from China. The results are compared with widely used machine learning methods as well as state-of-art deep learning methods. The experimental results demonstrate that the proposed method can provide better prediction performance than the competitive methods.",Remote Sensing,Remote Sensing,yes,MODIS,Crop yield prediction,Agriculture,"crop yield prediction from multi-spectral, multi-temporal remotely sensed imagery using recurrent 3d convolutional neural networks*",Regression,yes,,,,,,,,,,,,0.755,0.755,,Crop yield prediction (MT/ha)
J,"Sagan, V; Maimaitijiang, M; Bhadra, S; Maimaitiyiming, M; Brown, DR; Sidike, P; Fritschi, FB",Field-scale crop yield prediction using multi-temporal WorldView-3 and PlanetScope satellite data and deep learning,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2021,PlanetScope; WorldView-3; Deep learning; Convolutionneural network; ResNet; Artificial intelligence; Food security,"Agricultural management at field-scale is critical for improving yield to address global food security, as providing enough food for the world's growing population has become a wicked problem for both scientists and policy-makers. County- or regional-scale data do not provide meaningful information to farmers who are interested in field-scale yield forecasting for effective and timely field management. No studies directly utilized raw satellite imagery for field-scale yield prediction using deep learning. The objectives of this paper were twofold: (1) to develop a raw imagery-based deep learning approach for field-scale yield prediction, (2) investigate the contribution of in-season multitemporal imagery for grain yield prediction with hand-crafted features and WorldView-3 (WV) and PlanetScope (PS) imagery as the direct input, respectively. Four WV-3 and 25 PS imagery collected during the growing season of soybean were utilized. Both 2-dimensional (2D) and 3-dimensional (3D) convolution neural network (CNN) architectures were developed that integrated spectral, spatial, temporal information contained in the satellite data. For comparison, hundreds of carefully selected spectral, spatial, textural, and temporal features that are optimal for crop growth monitoring were extracted and fed into the same deep learning model. Our results demonstrated that (1) deep learning was able to predict yield directly using raw satellite imagery to the extent that was comparable to feature-fed deep learning approaches; (2) both 2D and 3D CNN models were able to explain nearly 90% variance in field-scale yield; (3) limited number of WV-3 outperformed multi-temporal PS data collected during entire growing season mainly attributed to RedEdge and SWIR bands available with WV-3; and (4) 3D CNN increased the prediction power of PS data compared to 2D CNN due to its ability to digest temporal features extracted from PS data.","Geography, Physical; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Physical Geography; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,"WorldView-3, PlanetScope",Crop yield prediction,Agriculture,field-scale crop yield prediction using multi-temporal worldview-3 and planetscope satellite data and deep learning,Regression,no,,,,,,,,,,,,,,,
J,"Fernandez-Beltran, R; Baidar, T; Kang, J; Pla, F",Rice-Yield Prediction with Multi-Temporal Sentinel-2 Data and 3D CNN: A Case Study in Nepal,REMOTE SENSING,2021,Sentinel-2; rice-yield estimation; regression; deep learning; Nepal,"Crop yield estimation is a major issue of crop monitoring which remains particularly challenging in developing countries due to the problem of timely and adequate data availability. Whereas traditional agricultural systems mainly rely on scarce ground-survey data, freely available multi-temporal and multi-spectral remote sensing images are excellent tools to support these vulnerable systems by accurately monitoring and estimating crop yields before harvest. In this context, we introduce the use of Sentinel-2 (S2) imagery, with a medium spatial, spectral and temporal resolutions, to estimate rice crop yields in Nepal as a case study. Firstly, we build a new large-scale rice crop database (RicePAL) composed by multi-temporal S2 and climate/soil data from the Terai districts of Nepal. Secondly, we propose a novel 3D Convolutional Neural Network (CNN) adapted to these intrinsic data constraints for the accurate rice crop yield estimation. Thirdly, we study the effect of considering different temporal, climate and soil data configurations in terms of the performance achieved by the proposed approach and several state-of-the-art regression and CNN-based yield estimation methods. The extensive experiments conducted in this work demonstrate the suitability of the proposed CNN-based framework for rice crop yield estimation in the developing country of Nepal using S2 data.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Rice-yield prediction,Vegetation,rice-yield prediction with multi-temporal sentinel-2 data and 3d cnn: a case study in nepal,Regression,no,,,,,,,,,,,,0.9526,107.26,,Cropy yield (kg/ha)
J,"Adrian, J; Sagan, V; Maimaitijiang, M",Sentinel SAR-optical fusion for crop type mapping using deep learning and Google Earth Engine,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2021,3D U-Net; Denoising neural networks; Sentinel-1; Sentinel-2; Data fusion,"Accurate crop type mapping provides numerous benefits for a deeper understanding of food systems and yield prediction. Ever-increasing big data, easy access to high-resolution imagery, and cloud-based analytics platforms like Google Earth Engine have drastically improved the ability for scientists to advance data-driven agriculture with improved algorithms for crop type mapping using remote sensing, computer vision, and machine learning. Crop type mapping techniques mainly relied on standalone SAR and optical imagery, few studies investigated the potential of SAR-optical data fusion, coupled with virtual constellation, and 3-dimensional (3D) deep learning networks. To this extent, we use a deep learning approach that utilizes the denoised backscatter and texture information from multi-temporal Sentinel-1 SAR data and the spectral information from multi-temporal optical Sentinel-2 data for mapping ten different crop types, as well as water, soil and urban area. Multi-temporal Sentinel-1 data was fused with multi-temporal optical Sentinel-2 data in an effort to improve classification accuracies for crop types. We compared the results of the 3D U-Net to the state-of-the-art deep learning networks, including SegNet and 2D U-Net, as well as commonly used machine learning method such as Random Forest. The results showed (1) fusing multi-temporal SAR and optical data yields higher training overall accuracies (OA) (3D U-Net 0.992, 2D U-Net 0.943, SegNet 0.871) and testing OA (3D U-Net 0.941, 2D U-Net 0.847, SegNet 0.643) for crop type mapping compared to standalone multi-temporal SAR or optical data (2) optical data fused with denoised SAR data via a denoising convolution neural network (OA 0.912) performed better for crop type mapping compared to optical data fused with boxcar (OA 0.880), Lee (OA 0.881), and median (OA 0.887) filtered SAR data and (3) 3D convolutional neural networks perform better than 2D convolutional neural networks for crop type mapping (SAR OA 0.912, optical OA 0.937, fused OA 0.992).","Geography, Physical; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Physical Geography; Geology; Remote Sensing; Imaging Science & Photographic Technology,no,Sentinel-2,Crop type mapping,Vegetation,sentinel sar-optical fusion for crop type mapping using deep learning and google earth engine,Classification,yes,94.1,,,,,,,,,,,,,,
C,Qadeer M.U.; Saeed S.; Taj M.; Muhammad A.,SPATIO-TEMPORAL CROP CLASSIFICATION ON VOLUMETRIC DATA,"Proceedings - International Conference on Image Processing, ICIP",2021,CNN; Crop Classification; Satellite data,"Large-area crop classification using multi-spectral imagery is a widely studied problem for several decades and is generally addressed using classical Random Forest classifier. Recently, deep convolutional neural networks (DCNN) have been proposed. However, these methods only achieved results comparable with Random Forest. In this work, we present a novel CNN based architecture for large-area crop classification. Our methodology combines both spatio-temporal analysis via 3D CNN as well as temporal analysis via 1D CNN. We evaluated the efficacy of our approach on Yolo and Imperial county benchmark datasets. Our combined strategy outperforms both classical as well as recent DCNN based methods in terms of classification accuracy by 2% while maintaining a minimum number of parameters and the lowest inference time. Â© 2021 IEEE",Conference paper,,yes,"Sentinel-2, Landsat-8",Crop classification,Agriculture,spatio-temporal crop classification on volumetric data,Classification,yes,90.23,90.08,,,,,,,,,,,,,
J,"Aldabbagh, YAN; Shafri, HZM; Mansor, S; Ismail, MH","Desertification prediction with an integrated 3D convolutional neural network and cellular automata in Al-Muthanna, Iraq",ENVIRONMENTAL MONITORING AND ASSESSMENT,2022,Desertification prediction; Convolutional neural networks; Cellular automata; Al-Muthanna,"Desertification is a major environmental issue all over the world, and Al-Khidhir district, Al-Muthanna, in the south of Iraq is no exception. In mapping, assessing, and predicting desertification, remote sensing and geospatial solutions (spatial analysis, machine learning) are crucial. During 1998-2018, this study employed satellite images from Landsat TM, ETM +, and OLI to map and predict desertification in the Al-Khidhir district. The year 2028 was chosen as the target date. Prediction models were constructed using a 3D convolutional neural network (3D CNN) and cellular automata (CA) techniques. In addition to the historical land cover maps, the model incorporated desertification indicators identified as important in the study, including geology, soil type, distance from waterways, elevation, population density, and Normalized Difference Vegetation Index (NDVI). Several accuracy metrics were used to evaluate the models, including overall accuracy (OA), average accuracy (AA), and the Kappa index (K). The simulated and actual land cover maps from 1998 and 2008 were used to evaluate the desertification prediction models. The 3D CNN model outperforms the typical 2D CNN for both the 2008 and 2018 images, according to the results. For the 2008 image, the 3D CNN model achieved 89.675 OA, 69.946 AA, and 0.781 K, while the 2018 image achieved 91.494 OA, 75.138 AA, and 0.770 K. The 2D CNN model performed a little worse than the 3D CNN model. The results of the change assessment showed that between 1998 and 2008, agricultural land was the dominant class (39%, 47.4%, respectively). The bare land, however, was the most dominant class in 2018, accounting for 46.6% of the total, compared to 26.2% for agricultural land. The spatial distribution characteristics of desertification in the Al-Khidhir, in the year 1998, were prevalent in the area's south (25.9%). In the following 10 years, desertification has spread to the surrounding territories. In the year 2008, desertification increased in the north of the study area (50.8%). Unless the local administration of Al-Khidhir district establishes desertification control strategies, this study suggests that the extent of bare land could expand in 2028 (54.1%).",Environmental Sciences,Environmental Sciences & Ecology,no,Landsat-7,Desertification prediction,Geohazards,"desertification prediction with an integrated 3d convolutional neural network and cellular automata in al-muthanna, iraq",Classification,no,89.68,,,,,,,78.1,,,,,,,
J,"Aldabbagh, YAN; Shafri, HZM; Mansor, S; Ismail, MH","Desertification prediction with an integrated 3D convolutional neural network and cellular automata in Al-Muthanna, Iraq",ENVIRONMENTAL MONITORING AND ASSESSMENT,2022,Desertification prediction; Convolutional neural networks; Cellular automata; Al-Muthanna,"Desertification is a major environmental issue all over the world, and Al-Khidhir district, Al-Muthanna, in the south of Iraq is no exception. In mapping, assessing, and predicting desertification, remote sensing and geospatial solutions (spatial analysis, machine learning) are crucial. During 1998-2018, this study employed satellite images from Landsat TM, ETM +, and OLI to map and predict desertification in the Al-Khidhir district. The year 2028 was chosen as the target date. Prediction models were constructed using a 3D convolutional neural network (3D CNN) and cellular automata (CA) techniques. In addition to the historical land cover maps, the model incorporated desertification indicators identified as important in the study, including geology, soil type, distance from waterways, elevation, population density, and Normalized Difference Vegetation Index (NDVI). Several accuracy metrics were used to evaluate the models, including overall accuracy (OA), average accuracy (AA), and the Kappa index (K). The simulated and actual land cover maps from 1998 and 2008 were used to evaluate the desertification prediction models. The 3D CNN model outperforms the typical 2D CNN for both the 2008 and 2018 images, according to the results. For the 2008 image, the 3D CNN model achieved 89.675 OA, 69.946 AA, and 0.781 K, while the 2018 image achieved 91.494 OA, 75.138 AA, and 0.770 K. The 2D CNN model performed a little worse than the 3D CNN model. The results of the change assessment showed that between 1998 and 2008, agricultural land was the dominant class (39%, 47.4%, respectively). The bare land, however, was the most dominant class in 2018, accounting for 46.6% of the total, compared to 26.2% for agricultural land. The spatial distribution characteristics of desertification in the Al-Khidhir, in the year 1998, were prevalent in the area's south (25.9%). In the following 10 years, desertification has spread to the surrounding territories. In the year 2008, desertification increased in the north of the study area (50.8%). Unless the local administration of Al-Khidhir district establishes desertification control strategies, this study suggests that the extent of bare land could expand in 2028 (54.1%).",Environmental Sciences,Environmental Sciences & Ecology,no,Landsat-8,Desertification prediction,Geohazards,"desertification prediction with an integrated 3d convolutional neural network and cellular automata in al-muthanna, iraq",Classification,no,91.49,,,,,,,77,,,,,,,
C,"Ibrahim, MR; Benavente, R; Lumbreras, F; Ponsa, D",3DRRDB: Super Resolution of Multiple Remote Sensing Images using 3D Residual in Residual Dense Blocks,2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION WORKSHOPS (CVPRW 2022),2022,,"The rapid advancement of Deep Convolutional Neural Networks helped in solving many remote sensing problems, especially the problems of super-resolution. However, most state-of-the-art methods focus more on Single Image Super-Resolution neglecting Multi-Image Super-Resolution. In this work, a new proposed 3D Residual in Residual Dense Blocks model (3DRRDB) focuses on remote sensing Multi-Image Super-Resolution for two different single spectral bands. The proposed 3DRRDB model explores the idea of 3D convolution layers in deeply connected Dense Blocks and the effect of local and global residual connections with residual scaling in Multi-Image Super-Resolution. The model tested on the Proba-V challenge dataset shows a significant improvement above the current state-of-the-art models scoring a Corrected Peak Signal to Noise Ratio (cPSNR) of 48.79 dB and 50.83 dB for Near Infrared (NIR) and RED Bands respectively. Moreover, the proposed 3DRRDB model scores a Corrected Structural Similarity Index Measure (cSSIM) of 0.9865 and 0.9909 for NIR and RED bands respectively.","Computer Science, Artificial Intelligence; Computer Science, Theory & Methods",Computer Science,yes,PROBA-V,Improvement of the satellite image quality,Others,3drrdb: super resolution of multiple remote sensing images using 3d residual in residual dense blocks,Regression,yes,,,,,,,,,,,,,,,
C,Igeta T.; Iwasaki A.,An Unsupervised Network for Stereo Matching of Very High Resolution Satellite Imagery,International Geoscience and Remote Sensing Symposium (IGARSS),2022,disparity estimation; high-resolution remote sensing imagery; stereo matching; unsupervised learning,"Convolutional Neural Networks (CNN) were recently applied to stereo matching, which is one of the important steps in 3D reconstruction. In remote sensing using Very High Resolution (VHR) satellite imagery, CNN-based stereo matching is employed in Digital Surface Models (DSM) generation, achieving higher accuracy than conventional methods through supervised learning. Since ground-truth disparity maps calculated from reliable elevation data are hard to collect, unsupervised stereo matching methods are as significant as supervised ones. However, there are few studies on stereo matching of VHR satellite imagery with unsupervised learning. In this work, we propose an unsupervised stereo matching network for DSM generation. We also introduce a criterion to select the best epoch without using ground-truth data for validation in a training strategy of gradually increasing the weight of a smoothness loss. Experimental results show that our network performs better in the average endpoint error and the fraction of erroneous pixels than the baseline method of the used dataset without ground-truth data. Â© 2022 IEEE.",Conference paper,,yes,WorldView-3,Stereo matching of VHR satellite imagery,Others,an unsupervised network for stereo matching of very high resolution satellite imagery,Regression,yes,,,,,,,,,,,,,,,
J,Z. Zhu; Y. Tao; X. Luo,HCNNet: A Hybrid Convolutional Neural Network for Spatiotemporal Image Fusion,IEEE Transactions on Geoscience and Remote Sensing,2022,Feature fusion;hybrid convolution (Conv);spatiotemporal fusion (STF);spectral correlation,"In recent years, leaps and bounds have developed spatiotemporal fusion (STF) methods for remote sensing (RS) images based on deep learning. However, most existing methods use 2-D convolution (Conv) to explore features. 3-D Conv can explore time-dimensional features, but it requires more memory footprint and is rarely used. In addition, the current STF methods based on convolutional neural networks (CNNs) are mainly the following two: 1) use 2-D Conv to extract features from multiple bands of the input image together and fuse the features to predict the multiband image directly and 2) use 2-D Conv to extract features from individual bands of the image, predict the reflectance data of individual bands, and finally stack the predicted individual bands directly to synthesize the multiband image. The former method does not sufficiently consider the spectral and reflectance differences between different bands, and the latter does not consider the similarity of spatial structures between adjacent bands and the spectral correlation. To solve these problems, we propose a 2-D/3-D hybrid CNN called HCNNet, in which the 2D-CNN branch extracts the spatial information features of single-band image, and the 3D-CNN branch extracts spatiotemporal features of single-band images. After fusing the features of the dual branches, we introduce neighboring band features to share spatial information so that the information is complementary to obtain single-band features and images, and finally stack each single-band image to generate multiband images. Visual assessment and metric evaluation of the three publicly available datasets showed that our method predicted better images compared with the five methods.",IEEE Journals,,yes,"Landsat-8, MODIS",Spatiotemporal Image Fusion,Others,hcnnet: a hybrid convolutional neural network for spatiotemporal image fusion,Regression,yes,,,,,,,,,,,,0.9906,0.0258,,Reflectance
J,"Zhang, E; Fu, YH; Wang, J; Liu, L; Yu, K; Peng, JY",MSAC-Net: 3D Multi-Scale Attention Convolutional Network for Multi-Spectral Imagery Pansharpening,REMOTE SENSING,2022,deep learning; multi-spectral image; 3D convolutional; multi-scale cost,"Pansharpening fuses spectral information from the multi-spectral image and spatial information from the panchromatic image, generating super-resolution multi-spectral images with high spatial resolution. In this paper, we proposed a novel 3D multi-scale attention convolutional network (MSAC-Net) based on the typical U-Net framework for multi-spectral imagery pansharpening. MSAC-Net is designed via 3D convolution, and the attention mechanism replaces the skip connection between the contraction and expansion pathways. Multiple pansharpening layers at the expansion pathway are designed to calculate the reconstruction results for preserving multi-scale spatial information. The MSAC-Net performance is verified on the IKONOS and QuickBird satellites' datasets, proving that MSAC-Net achieves comparable or superior performance to the state-of-the-art methods. Additionally, 2D and 3D convolution are compared, and the influences of the number of convolutions in the convolution block, the weight of multi-scale information, and the network's depth on the network performance are analyzed.","Environmental Sciences; Geosciences, Multidisciplinary; Remote Sensing; Imaging Science & Photographic Technology",Environmental Sciences & Ecology; Geology; Remote Sensing; Imaging Science & Photographic Technology,yes,QuickBird,MS imagery pansharpening,Others,msac-net: 3d multi-scale attention convolutional network for multi-spectral imagery pansharpening,Regression,no,,,,,,,,,,,,0.7868,0.0975,,Similarity of spectral features
J,"Azeez, OS; Shafri, HZM; Alias, AH; Haron, NA",A Joint Bayesian Optimization for the Classification of Fine Spatial Resolution Remotely Sensed Imagery Using Object-Based Convolutional Neural Networks,LAND,2022,object-based convolution neural networks; deep learning; Bayesian optimization; decision-level fusion; Worldview-3,"In recent years, deep learning-based image classification has become widespread, especially in remote sensing applications, due to its automatic and strong feature extraction capability. However, as deep learning methods operate on rectangular-shaped image patches, they cannot accurately extract objects' boundaries, especially in complex urban settings. As a result, combining deep learning and object-based image analysis (OBIA) has become a new avenue in remote sensing studies. This paper presents a novel approach for combining convolutional neural networks (CNN) with OBIA based on joint optimization of segmentation parameters and deep feature extraction. A Bayesian technique was used to find the best parameters for the multiresolution segmentation (MRS) algorithm while the CNN model learns the image features at different layers, achieving joint optimization. The proposed classification model achieved the best accuracy, with 0.96 OA, 0.95 Kappa, and 0.96 mIoU in the training area and 0.97 OA, 0.96 Kappa, and 0.97 mIoU in the test area, outperforming several benchmark methods including Patch CNN, Center OCNN, Random OCNN, and Decision Fusion. The analysis of CNN variants within the proposed classification workflow showed that the HybridSN model achieved the best results compared to 2D and 3D CNNs. The 3D CNN layers and combining 3D and 2D CNN layers (HybridSN) yielded slightly better accuracies than the 2D CNN layers regarding geometric fidelity, object boundary extraction, and separation of adjacent objects. The Bayesian optimization could find comparable optimal MRS parameters for the training and test areas, with excellent quality measured by AFI (0.046, -0.037) and QR (0.945, 0.932). In the proposed model, higher accuracies could be obtained with larger patch sizes (e.g., 9 x 9 compared to 3 x 3). Moreover, the proposed model is computationally efficient, with the longest training being fewer than 25 s considering all the subprocesses and a single training epoch. As a result, the proposed model can be used for urban and environmental applications that rely on VHR satellite images and require information about land use.",Environmental Studies,Environmental Sciences & Ecology,yes,Worldview-3,Urban land-use and land-cover,Urban,a joint bayesian optimization for the classification of fine spatial resolution remotely sensed imagery using object-based convolutional neural networks,Classification,no,95,,,,,,,94,,95,,,,,
J,"Yang, ZW; Zhang, HB; Lyu, XX; Du, WB","Improving Typical Urban Land-Use Classification with Active-Passive Remote Sensing and Multi-Attention Modules Hybrid Network: A Case Study of Qibin District, Henan, China",SUSTAINABILITY,2022,land-use classification; convolutional neural networks (CNN); active and passive remote sensing; data fusion,"The study of high-precision land-use classification is essential for the sustainable development of land resources. This study addresses the problem of classification errors in optical remote-sensing images under high surface humidity, cloud cover, and hazy weather. The synthetic aperture radar (SAR) images are sensitive to soil moisture, and the microwave can penetrate clouds, haze, and smoke. By using both the active and passive remote-sensing data, the Sentinel-1A SAR and Sentinel-2B multispectral (MS) images are combined synergistically. The full-band data combining the SAR + MS + spectral indexes is thus constructed. Based on the high dimensionality and heterogeneity of this data set, a new framework (MAM-HybridNet) based on two-dimensional (2D) and three-dimensional (3D) hybrid convolutional neural networks combined with multi-attention modules (MAMs) is proposed for improving the accuracy of land-use classification in cities with high surface humidity. In addition, the same training samples supported by All bands data (SAR + MS + spectral index) are selected and compared with k-Nearest Neighbors (KNN), support vector machine (SVM), 2D convolutional neural networks, 3D convolutional neural networks, and hybridSN classification models to verify the accuracy of the proposed classification model. The results show that (1) fusion classification based on Sentinel-2B MSI and Sentinel-1A SAR data produce an overall accuracy (OA) of 95.10%, a kappa coefficient (KC) of 0.93, and an average accuracy (AA) of 92.86%, which is better than the classification results using Sentinel-2B MSI and Sentinel-1A SAR images separately. (2) The classification accuracy improves upon adding the spectral index, and the OA, KC, and AA improve by 3.77%, 0.05, and 5.5%, respectively. (3) With the support of full-band data, the algorithm proposed herein produces better results than other classification algorithms, with an OA of 98.87%, a KC of 0.98, and an AA of 98.36%. These results indicate that the synergistic effect of active-passive remote-sensing data improves land-use classification. Additionally, the results verify the effectiveness of the proposed deep-learning classification model for land-use classification.",Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies,Science & Technology - Other Topics; Environmental Sciences & Ecology,yes,Sentinel-2,Urban Land-Use Classification,Urban,"improving typical urban land-use classification with active-passive remote sensing and multi-attention modules hybrid network: a case study of qibin district, henan, china",Classification,no,96.76,,,,,,,95.71,,,,,,,
C,"Voelsen, M; Teimouri, M; Rottensteiner, F; Heipke, C",INVESTIGATING 2D AND 3D CONVOLUTIONS FOR MULTITEMPORAL LAND COVER CLASSIFICATION USING REMOTE SENSING IMAGES,"XXIV ISPRS CONGRESS: IMAGING TODAY, FORESEEING TOMORROW, COMMISSION III",2022,land cover classification; remote sensing; FCN; multi-temporal images; 3D-CNN,"With the availability of large amounts of satellite image time series (SITS), the identification of different materials of the Earth's surface is possible with a high temporal resolution. One of the basic tasks is the pixel-wise classification of land cover, i.e. the task of identifying the physical material of the Earth's surface in an image. Fully convolutional neural networks (FCN) are successfully used for this task. In this paper, we investigate different FCN variants, using different methods for the computation of spatial, spectral, and temporal features. We investigate the impact of 3D convolutions in the spatial-temporal as well as in the spatial-spectral dimensions in comparison to 2D convolutions in the spatial dimensions only. Additionally, we introduce a new method to generate multitemporal input patches by using time intervals instead of fixed acquisition dates. We then choose the image that is closest in time to the middle of the corresponding time interval, which makes our approach more flexible with respect to the requirements for the acquisition of new data. Using these multi-temporal input patches, generated from Sentinel-2 images, we improve the classification of land cover by 4% in the mean F1-score and 1.3% in the overall accuracy compared to a classification using mono-temporal input patches. Furthermore, the usage of 3D convolutions instead of 2D convolutions improves the classification performance by a small amount of 0.4% in the mean F1-score and 1.2% in the overall accuracy.","Geography, Physical; Remote Sensing; Imaging Science & Photographic Technology",Physical Geography; Remote Sensing; Imaging Science & Photographic Technology,yes,Sentinel-2,Land cover classification,Urban,investigating 2d and 3d convolutions for multitemporal land cover classification using remote sensing images,Classification,yes,88.1,79.7,,,,,,,,,,,,,
J,"Li, R; Zheng, SY; Duan, CX; Wang, LB; Zhang, C",Land cover classification from remote sensing images based on multi-scale fully convolutional network,GEO-SPATIAL INFORMATION SCIENCE,2022,Spatio-temporal remote sensing images; Multi-Scale Fully Convolutional Network; land cover classification,"Although the Convolutional Neural Network (CNN) has shown great potential for land cover classification, the frequently used single-scale convolution kernel limits the scope of information extraction. Therefore, we propose a Multi-Scale Fully Convolutional Network (MSFCN) with a multi-scale convolutional kernel as well as a Channel Attention Block (CAB) and a Global Pooling Module (GPM) in this paper to exploit discriminative representations from two-dimensional (2D) satellite images. Meanwhile, to explore the ability of the proposed MSFCN for spatio-temporal images, we expand our MSFCN to three-dimension using three-dimensional (3D) CNN, capable of harnessing each land cover category's time series interaction from the reshaped spatio-temporal remote sensing images. To verify the effectiveness of the proposed MSFCN, we conduct experiments on two spatial datasets and two spatiotemporal datasets. The proposed MSFCN achieves 60.366% on the WHDLD dataset and 75.127% on the GID dataset in terms of mIoU index while the figures for two spatiotemporal datasets are 87.753% and 77.156%. Extensive comparative experiments and ablation studies demonstrate the effectiveness of the proposed MSFCN. Code will be available at https://github.com/lironui/MSFCN.",Remote Sensing,Remote Sensing,yes,Gaofen-2,Land cover classification,Vegetation,land cover classification from remote sensing images based on multi-scale fully convolutional network,Segmentation,yes,97.458,89.4945,,,,,,94.689,,82.4545,,,,,
C,Meshkini K.; Bovolo F.; Bruzzone L.,A 3D CNN APPROACH FOR CHANGE DETECTION IN HR SATELLITE IMAGE TIME SERIES BASED ON A PRETRAINED 2D CNN,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",2022,3D Convolutional Neural Network (CNN); Change Detection (CD); Change Vector Analysis (CVA); Deep Learning; High Resolution (HR) Image; Transfer Learning,"Over recent decades, Change Detection (CD) has been intensively investigated due to the availability of High Resolution (HR) multi-spectral multi-temporal remote sensing images. Deep Learning (DL) based methods such as Convolutional Neural Network (CNN) have recently received increasing attention in CD problems demonstrating high potential. However, most of the CNN-based CD methods are designed for bi-temporal image analysis. Here, we propose a Three-Dimensional (3D) CNN-based CD approach that can effectively deal with HR image time series and process spatial-spectral-temporal features. The method is unsupervised and thus does not require the complex task of collecting labelled multi-temporal data. Since there are only a few pretrained 3D CNNs available that are not suitable for remote sensing CD analysis, the proposed approach starts with a pretrained 2D CNN architecture trained on remote sensing images for semantic segmentation and develops a 3D CNN architecture using a transfer learning technique to jointly deal with spatial, spectral and temporal information. A layerwise feature reduction strategy is performed to select the most informative features and a pixelwise year-based Change Vector Analysis (CVA) is employed to identify changed pixels. Experimental results on a long time series of Landsat 8 images for an area located in Saudi Arabia confirm the effectiveness of the proposed approach.  Â© Authors 2022",Conference paper,,yes,Landsat-8,Change detection,Vegetation,a 3d cnn approach for change detection in hr satellite image time series based on a pretrained 2d cnn,Segmentation,yes,,,,,,,,,,,,,,,
